项目编号,主体,关系,客体
544,传统节庆 活动,包括,跳金钱棒
544,传统节 庆活动,包括,舞狮子
544,民族体育 活动,包括,打陀螺
544,民族体育 活动,包括,踢毽子
544,水族,信奉自然信仰祭祀,土神
544,水族,信奉自然信仰祭祀,水神
544,水族,信奉自然 信仰祭祀,岩神
544,水族,信奉自然信仰祭祀,灶神
544,水族,过去曾有古老文字水语 称为,泐虽
544,泐虽,汉语 译为,水文或水 书
544,水 文或水书,用途,用于推测祸福、择吉 除凶的卜书
544,水族妇女服饰,历史上为,短衣长 裙
544,水 族妇女服饰,民国后已 逐步改,长裙为裤
544,早年自 种自织自染土布,现已普遍改用,机制布料
544,下笔 冲妇女上身内穿,白色紧身衣) 27 . (下笔冲妇女外穿,青色或黑色紧身短 衣窄袖窄腰
544,下笔冲妇女上衣,普遍是右开襟) 29. (下笔冲 妇女上衣襟沿,镶花 边
544,下 笔冲妇女下着裤子,喜系绣花围腰) 31. (下笔冲妇女 常戴,镯
544,下笔冲妇女常 戴,环) 33 . (遇结婚或喜庆节日还 佩戴,银项圈
544,遇结婚或喜庆 节日还佩戴,篦子) 35. (遇结婚或 喜庆节日还佩戴,玉簪
544,女子发 髻,成螺旋形) 37. (未婚女子头发先 梳成一束再打成盘外包 头帕,头帕是水 族男女共同看重的衣饰
544,头帕,一般要自纺、自织 、自制) 39. ( 水族信仰,万物有灵
544,水族 尤以崇拜,土神) 41. (水族尤 以崇拜,水神
544,水族尤以 崇拜,岩神) 4 3. (一般祭祀通常在节 令中进行,全村集体祭祀 的有农历二月二祭白龙
544,一般祭祀 通常在节令中进行,全村集体祭祀的有三月三祭 龙节) 45. ( 一般祭祀通常在节令中进行,全村集体祭祀的有六月 六祭土地
544,一般祭祀通常在节令中 进行,全村集体祭祀的有 六月二十二打老牛) 4 7. (祭祀品,为 牛、猪、鸡种
544,所信仰鬼神名目 繁多除凶神恶鬼之类外 还有驱挡凶神恶鬼类的 鬼神这类鬼神经过世代演变部分物 化成相对固定、能吞邪 镇恶的吞口类似傩面具,现存民间文学蕴藏量较 丰富) 49. (现存 民间文学蕴藏量较丰富,包括 歌谣、谚语传说故事主要 靠口头流传
544,歌谣题材广泛内容丰富主题鲜明 按其内容可分为祭祀歌、劳动 歌、生活歌、风俗歌、 情歌等各类别中还可分 出若干细目如情歌就可 分出种风俗歌可分为祝酒 歌、哭嫁歌、挂红 歌、贺新房调、踩门 调、上梁调、招亲 调、丧葬调等,歌谣曲调变化不多旋律较 简单歌词常因时因事因 物因人而变化句式以 七言句居多还有三言句 、四言句和五言句 有时也混合使用句数多少不一 押韵是以押脚韵为主转 韵、变韵较快) 5 1. (下笔冲水族 的音乐旋律与语调密切相关朗诵性与 歌唱性紧密结合音乐柔和抒情,还有一种说唱形式的曲艺称为都 敖主要用于老人去世接气、入 殓句式是五言句念 唱结合
544,主要乐器有月琴、唢呐 、皮鼓、锣、钹等,民间舞蹈有狮子灯和 金钱棒舞) 53. (狮子灯既是舞蹈又似傩 戏是一种混合性的表演每年春节或 祭龙节时村民走村串 寨耍狮子灯在舞狮过程中 还加入《西游记》故事表演深受 群众喜爱,金钱棒舞自 娱性强随时可跳人数不限
545,从腊者 村,位于,曲靖市 罗平县鲁布革 布依族苗族乡
545,从腊者村,民族构成,布依 族
545,从腊 者村,始建时期,清代
545,从 腊者村,地理特征,亚热带河谷地区
545,从腊者村,周边环境,四周高山环绕
545,从腊者村,植被覆盖率,达以上
545,布依族 女性,学习技能,织 布、绣花
545,布依族家庭,拥有 物品,自制的织布机
545,土布、 床单,使用染料来源,植物
545,染色 后的布料颜色,为,藏青色
545,寨中保存建筑类型,包括,老人房、吊脚楼式 民居
545,老人房,建筑风格,布依族传统干栏式建筑
545,老人房,功能用途,全村最重要的 祭祀活动场所
545,祭老人房活动时间,在每年农历二月的第一个属兔日 举行) 15. (布 依族信仰对象,"信奉, 自然神"
545,日常祭祀内容,包括,祭山、祭水
545,祭祀主持人身份,由么公担任) 18 . (老年妇女传统服饰元素,头缠蓝黑包布
545,老年妇女上衣 款式,身着青色无领对 襟短衣) 20. (老年妇女衣袖特征,身 大袖宽沿衣领缝处 镶一道花边
545,老年妇女衣角装饰,镶绣各式彩色滚边) 22. (老年妇女内外 衣袖口处,绣织花纹 图案鲜艳美观
545,老年妇女下装选择,深青、蓝色的宽脚裤或 百褶裙) 24. (百褶裙制作材料,白底蓝色的蜡染花布
545,成年妇女头 饰变化,用白毛巾代替 包头) 26. ( 成年妇女上衣改良款式,改 穿有领或矮领大襟 衣
545,成年 妇女左衽前下方装饰,镶嵌两三道带色的花边) 28. (成年妇女领 前装饰物,银泡纽 扣作装饰
545,成年妇女保留传统部位,袖口仍保留传统风格) 30. (成年妇女下装 选择,只穿长裤
545,未婚女子服饰 特点,基本与中年妇女相似 ) 32. (未婚女子 衣服花口特点,图案更多 更鲜艳
545,女子普遍技能,会织布 绣花) 34. ( 布依族节日类型,分为 纪念性、季节性和祭祀性几 类
545,主要 节日举例,包括春节、三月三 、五月节、六月二十四等) 36. (最隆重节日,春节和三月三
545,三月三祭祀对象,祭水、祭树神 、祭山神) 38 . (三月三祈求内容,五谷丰登、平安吉祥、 安康幸福
545,布依族文字状况,无 文字) 40. (民间 文学传承方式,口头传承
545,民歌形式 分类,情歌、敬酒 歌、出嫁歌、赶米 酒歌、迎亲歌等) 42. (民歌歌词 来源,大多是前人所传
546,新寨村 、贺姐村,位于腊撒 村委会 2. 腊 撒村委会,位于德宏 傣族景颇族自治州陇川县 户撒坝子 3. 户撒河 - 穿流于 户撒坝子间 4. 曼旦水库 - 位于村子 附近 5. 户撒阿 昌刀 - 为著名产品 6. 阿昌族妇女服装 - 黑色手工纺织棉布缝 制 7. 阿昌族 男子服饰 - 黑色立领对 襟衫及长管大筒裤 8. 信仰宗教 - 包括 南传上座部佛教、道教 和自然信仰 9. 生产 活动与节日庆典 - 依据农历 和傣历进行 10. 民间文学 - 包含史诗、 民间故事等多种形式 11. 创世史诗 - 《遮帕 麻和遮咪麻》 1 2. 体育健身娱乐活动 - 保持传统形式，设有练武 场
547,大等喊 村,位于,德宏傣 族景颇族自治州瑞丽 市姐相乡贺赛行政 村
547,大等 喊村,是,全市 最大的傣族村寨
547,大等喊村,傣族人口占比,以上
547,大等喊村,建立年代,明末 清初
547,大 等喊村,具有,典型的亚热带自然风光
547,大等喊村,农业资源,十分丰富
547,大等喊村,民族风情,浓郁
547,大等喊村,称号,歌舞之乡
547,大等喊村,民居类型,竹篾 墙干栏式
547,大等喊佛寺,级别,省级文物保护单位
547,大等 喊村,旅游业发展情况,国家首批农业旅游示范点
547,傣族男装,样式,无领对 襟式宽松大裤脚缠包 头
547,傣 族男装颜色,依年龄分别为,黑色、茶色、灰色 、淡黄色
547,傣族包头基本色,为,白色
547,傣族女装,样式,无领姊妹装式的 对襟衣穿筒裙挽发 髻于后
547,傣家土法织布,历史追溯至,明清
547,傣锦,特点,花纹美观大方色泽 鲜艳质地精良经久耐用
547,大等喊木 雕工艺,手法,透 雕、浮雕、线雕和圆 雕相结合
547,大等喊木雕题材,包括,花卉、藤蔓及狮 、龙、大象、麒麟、人 首蛇身、人首鸟身 等飞禽走兽
547,村民,信奉宗教,南传上座部佛教
547,进洼 关门节至出洼开门节期间,活动次数,次斋 戒活动
547,村民小组,负责组织,赕佛并负责节庆赶摆 、修桥补路、修沟 打坝、打扫卫生、婚丧 嫁娶等民事活动
547,主要佛事活动,包括,烧白柴、弥 勒佛节、进洼、出 洼、泼水节、赶朵 、做摆等
547,自然信仰祭祀对象,包括,寨神、寨心、 树神、水神等
547,大等喊村,美誉,农村自然公园
547,主要景点,包括,大等喊奘 寺
547,主要 景点,包括,农业科技示范 园
547,农业 科技示范园,定为,全国农业旅游示范点
547,主要景点,包括,大金水塘
547,主要景点,包括,孔雀竹林
547,主要景点,包括,菩提古 榕
547,菩提 古榕,传说,释 迦弟子曾在树下打坐参禅 被尊为寨中神树
547,主要景点,包括,泼水广场上的民族 歌舞厅
547,主要景点,包括,泼水 亭
547,主要 景点,包括,水龙
547,民间文学形式,包括,叙事史诗如《 朗嘎西贺》、《娥姘与 桑洛》
547,民间文学形式,包括,风俗歌情歌
547,民间文学形式,包括,神话传说
547,民间文学形式,包括,民间故事
547,民间文学形式,包括,寓言 故事
547,民间 文学形式,包括,谚语
547,村民每 户存书数量,两本 以上) 43. (经 书内容主体,神话传说
547,诗歌特点,有韵脚) 45 . (诗歌类型比例较大者,情诗
547,民歌特点,音高 流畅即兴发挥) 47 . (民歌类型,诵 调与歌调两种
547,民歌主要包括,山歌和情歌) 4 9. (民歌子类,吟诵调
547,民歌子类,哭嫁调) 51. (民歌子类,舞蹈 歌曲
547,民 歌子类,幼儿歌曲) 53. (民歌子 类,小调
547,主要乐器,包括,叮散赛三弦琴
547,主要乐器,包括,葫芦丝
547,主要乐器,包括,象脚鼓
547,主要乐器,包括,镲
547,主要 乐器,包括,排铓
547,傣族风俗 歌舞演出队人数,余人组成 ) 60. (演出时间,每天下午
547,表演对象,游客) 62. (传统节日,"包括, 泼水节"
547,传统节日,包括,关门节
547,传统节日,包括,开门节
547,传统民族体育项目,包括,拳术
547,传统民族体育项目,包括,棍术
547,传统民族体育项目,包括,刀术
547,传统民族体育项目,包括,爬杆
547,传统民族体育项目,包括,跳谷堆
547,传统民族体育项目,包括,顶棍
547,传统民族体育项目,包括,丢包
547,传统民族体育项目,包括,打陀螺
547,传统民族体育项目,包括,跳绳
547,传统民族体育项目,包括,荡秋千
548,三台山 乡,位于,德宏傣 族景颇族自治州潞西 市西南侧
548,三台山乡,是,全国唯一的德昂族乡
548,德昂族,属于,云南人口较少 民族之一
548,德 昂族传统民居,形式 为,竹楼干栏
548,德昂族传统 民居顶头形状,形 似,诸葛亮的帽子
548,传说,诸葛亮平定 南中时赠帽给,一位德昂族姑娘
548,人们建盖竹楼原因,为表示对,诸葛亮 的怀念
548,室内 设置,分设两个,火塘
548,火 塘使用方式,由男女两 性分享) 10. ( 楼房楼梯数量,设有两部
548,前门楼梯 用途,搭有晒台用于 晒衣服或谷物/亲友来访出入 ) 12. (后门 楼梯通往,菜地或碓 房
548,小伙子 串姑娘路线,一般走,后门
548,火塘象征意义,被视为 家族的象征和家庭人畜兴旺的保护 神) 15. (火 塘方位意义,被视为家族成员 不同地位的象征
548,德昂族种茶历史,悠久) 17. ( 《达古达楞格莱标 》古歌集,"反映, 德昂族与茶的渊源 关系"
548,茶 在德昂人生活中的地位,日常生活、社交礼仪、化解矛盾、 治疗疾病等方面均有独特地位) 19. (三台山德 昂族擅长工艺,用竹 编制各种用具
548,妇女手工制品包括,织 土布、织筒裙、筒 帕、裹腿、包头等 ) 21. (德昂 女子服饰特点,对襟、 紧袖衣摆齐腰以藏 青色、黑色居多
548,德昂女子服饰装饰重点,衣领与下摆的 装饰较为考究) 23. (反披衣领长度约,厘米
548,衣领边缝装饰,有 各色小绒球) 2 5. (下摆部位装饰,有花边或刺绣
548,衣襟装饰物,两排压花银片 和银泡从肩部一直装饰 到衣服下摆) 27 . (喜庆节日活动服装特点,多穿戴装饰较多的服装
548,平时所穿服装 特点,较简单没有太多装饰 品) 29. (德 昂语称筒裙为,格朗
548,筒裙材质,棉线手工 织品) 31. ( 筒裙长度特征,上裹 胸部下遮踝骨
548,筒裙颜色多为,红黑两色横条相 压) 33. (德 昂族支系服装差别体现处,筒裙上
548,德昂族各支 系筒裙共同特点,彩色 横条纹) 35. ( 腰箍材质,藤、竹 篾或草编织
548,腰箍佩戴位置,戴在腰间) 37. (腰箍意义,青年人爱情 的信物
548,小伙子制作腰箍目的,为了 获得姑娘的爱) 39. (姑娘佩戴腰箍数量质量象征 意义,越多越精致越能 说明这个姑娘勤劳智慧心灵美好
548,德昂族 妇女佩戴腰箍历史,十分 悠久) 41. (腰 箍相关记载来源,史籍 中有皆以藤篾缠腰箍 的记载
548,德昂族男子服饰特点,较简朴青布对襟开衫 下穿宽筒短裤黑布包 头) 43. (新郎 特殊待遇,办完喜事 时会得到岳父送的白布包 头
548,白 布包头寓意,希望女婿 对老人、对妻子的心要像 白包头一样洁白无瑕) 45. (三台山 乡各村寨中心神树名称,红漫
548,红漫神树性质,村子的保护神) 47 . (红白喜事习俗,凡遇都要集中到寨心 来祭神树
548,传统节日包括,泼 水节也称为浇花节、 赕佛节、烧白柴节 、点油灯、入雨安居 节) 49. (源于 自然信仰的活动包括,驱鬼 仪式、祭亡灵、祭房神 、祭寨神等
548,德昂族文字情况,无文字) 51 . (新中国成立前借用文字,傣文
548,新中国成立后多用文字,汉 文) 53. (亦有 沿用的文字,傣文
548,佛教典籍书写文字 多为,傣文) 5 5. (民族民间文学内容特点,广泛形式多样
548,民族民间文学体裁包括,史诗《达古达楞格 莱标》和叙事长诗、 风情习俗长诗、民歌等 ) 57. (民歌 歌调形式约数量,种
548,迎亲 调别称,婚礼词) 59. (隔山调 别称,对歌调串 词
548,采 茶调别称,做摆 歌) 61. (主要 乐器包括,象脚鼓、 坐鼓、抬鼓、水鼓 、铓、镲、布赖、 比总、结腊、马腿 琴、口弦等
548,舞蹈种类包括,抬鼓舞、长鼓舞、坐鼓舞 、水鼓舞、花篮舞、 竹杆舞亦称骑马舞等 ) 63. (舞蹈主要 表演场合,各种节庆时 跳
548,三 台山德昂族民间体育多为,武术) 65. (古代练武场遗址数量余 处其中最大者,允腊 武场
548,民间竞技包括,打篾弹 弓、打陀螺、掷龙 骰棋等) 67. (被列为云南省少数民族传统体育正式比赛 项目的年份及项目,年打 篾弹弓
549,同乐村,属于,迪庆藏族自治州 维西傈僳族自治县叶 枝镇
549,同乐村,民族,傈僳族
549,同乐村,地处,澜沧江东岸
549,同乐村,海拔位置,山区
549,同乐村,位于,三江并流核心腹地
549,后山,属于,白茫雪山自然保护区
549,后山,拥有,原始森林
549,后山,拥有,杜鹃花海
549,后山,拥有,滇金丝猴生态环境
549,叶枝一带,是,傈僳族先民 长期活动中心区
549,同乐村,是,傈僳族聚居古老 村寨
549,民居,类型,井 干式木楞房
549,井干式木楞 房,建筑特点,依 山而建层层叠叠
549,春秋收种季节,居住方式,下到 河谷住庄房
549,采集/打猎,居住 方式,住火房
549,同乐村,经济模式,农耕与采集 并重
549,同乐村,特产制作,饲养野鸡制漆油
549,同乐村,特产制作,核桃油
549,同乐 村,手工艺,善 织麻布
549,同乐村,手工艺,麦编
549,同乐村,手 工艺,刺绣
549,汪忍波,身份,傈僳族音节文字 创始人
549,汪 忍波,授徒地点,同乐村
549,汪忍波,授 徒数量,百人
549,村尾,拥有,叶枝王氏土司 避暑山庄
549,同乐村傈僳族,信仰对象,神灵
549,同乐村傈僳 族,信仰对象,鬼 怪
549,神灵 种类,包括,天神
549,神灵种类,包括,山神
549,神灵种类,包括,火神
549,神灵种类,包括,龙神
549,神灵种类,包括,家神
549,种天神,统辖,四神
549,四神,管理内容,山林及动植物
549,四神,管理内容,水
549,四神,管理内容,火
549,四神,管理 内容,各家各户命运
549,鬼怪分类,包括,人死后的灵魂
549,鬼怪分类,包括,万物的精灵
549,万物的精灵 例子,包括,路鬼
549,万物的精灵 例子,包括,水鬼
549,万物的精灵 例子,包括,树鬼
549,万物的精灵 例子,包括,干瘦鬼
549,万物的 精灵例子,包括,吃鬼
549,巫师类型,包括,东巴
549,巫师类型,包括,尼扒
549,巫师职责,包括,主持祀神
549,巫师职责,包括,禳 鬼
549,巫师 职责,包括,占卜
549,成年礼仪,触发条件,年满岁
549,成年礼仪,协助者,舅父/ 舅母或同族成年人
549,成年礼仪内容,包括,帮穿裤子或裙子
549,成年礼仪 意义,视为,新生命的 开始
549,同 乐傈僳族,特长,能歌善舞
549,阿尺木刮歌舞,发源地,同 乐
549,阿 尺木刮歌舞表演特点,无乐器伴奏) 57. (阿尺木刮歌舞队形,分男女两队
549,阿尺木刮歌舞 领唱者设置,各队 一名) 59. (阿 尺木刮歌舞合唱形式,其余合唱
549,阿尺木刮歌舞跳法,包括,舞圆环
549,阿尺木刮 歌舞跳法,包括,进退 舞步
549,阿 尺木刮歌舞跳法,包括,跳山羊
549,阿尺木刮歌舞唱 词范围,从天上唱到 地下) 64. (阿 尺木刮歌舞唱词范围,从大自然唱到人类社会
549,阿尺木刮 歌舞作用,对傈僳族 文化传承起极重要作用) 6 6. (瓦器器舞,"所属场合, 大小喜事"
549,瓦器 器舞,所属场合,各种节庆活动
549,民歌类型,包括,祭天古歌
549,祭天古歌内容,包括,神话传说
549,祭天古歌 内容,包括,先民在 恶劣自然环境中艰苦奋斗
549,祭天古歌内容,包括,祈神赐福
549,祭天古 歌句式特点,多为五 音节) 73. ( 祭天古歌吟唱特点,音调平缓
549,木刮特点,即踏歌起舞的歌曲) 75. (木刮歌词内容,抒怀叙事
549,木刮歌词内容,唱天地万物) 77 . (木刮歌词内容,历史典故
549,木刮歌词内容,神话传说 ) 79. (木刮 歌词内容,道德规范
549,木刮演唱时长 特点,可连续唱几天) 81. (丧歌演唱 场合,祭奠亡灵时
549,丧歌演唱 者,巫师或长者) 83. (传统服饰制作 方式,全部手工制作
549,男子上衣款式,大襟白短褂) 85. (男子外罩服装,前襟开口的黑白条纹 长衫
549,男子系带选择,羊毛带 或麻布彩带) 8 7. (男子下装款式,蓝布大裆裤
549,男子左挎物品,麻布包腊裱和 刀) 89. (男子 右背物品,弩弓箭包
549,男子头部 装饰,帕子或毡帽 ) 91. (女子头部 装饰物,三角帽呙享 包黑布头帕
549,女子头部饰品元素,小贝壳) 93. (女子头部饰品元素,银 圆片
549,女子头部饰品元素,小铃 铛) 95. (女子 头部饰品元素,草编
549,女子上装 款式,细白麻布大 襟长衫) 97. (女子外罩服装款式,紫红或黑色坎肩
549,女子下装款式,百褶裙和刺绣围 腰) 99. (男女 共同穿着特征,打绑腿 穿草鞋
549,传世故事与神话传说篇 目,《洪荒与人神》 ) 101. (传世 故事与神话传说篇目,《 阿弓玛的故事》
549,传世故事与神话 传说篇目,《月亮上的木瓜 树》) 103. (传世故事与神话传说篇目,《寻水故事》
549,同乐村 傈僳族,保存特色,独特的天文历法
549,同乐村傈 僳族天文历法,价值 评价,有一定学术研究价值
549,民族体育活动 项目,射弩) 1 07. (民族体育活动项目,斗牛
550,奔子栏 村,位于,迪庆藏 族自治州德钦县南部金沙 江西岸的奔子栏镇
550,奔子栏 村,海拔,米
550,奔子栏村,全村户数,户
550,奔子栏 村,人口数,人
550,奔子栏 村,人均耕地面积,亩
550,奔子 栏村,人均年收入,元/年
550,奔子栏,历史时期,唐宋时期
550,奔子栏,地位,西南入吐蕃古道
550,奔子栏,地位,由滇入藏 茶马古道的咽喉之地
550,清康熙五 十八年,事件,清军 入藏
550,汉人,迁入原因,军、工、匠人、找 矿
550,汉人,行为,与藏族通 婚繁衍子孙
550,奔子栏,藏语 名称,公仔拉
550,公仔拉,含义,美丽的沙坝
550,公仔拉,音译,奔子 栏
550,奔 子栏村,地形特征,山地河谷
550,奔子栏村,地形 特征,高寒山区
550,奔子栏村,土壤特点,肥沃
550,奔子栏 村,粮食产量,高
550,奔子 栏村,自然生态环境保护状况,良好
550,奔子栏村,特色植物,古树名木
550,村庄,布局 特点,依山傍水
550,金沙江,流向,由北向南贯穿 全境
550,附近,神山,日 尼巴乌
550,附近,神山,布雍学布水边寺
550,村子和周围,建筑,白塔
550,村子和周围,建筑,白塔转 经殿
550,传统宗教文化,色彩,浓郁
550,村 寨聚落格局,保持状态,传统风貌
550,民居建筑,保存 状况,完好
550,碉楼式木结构建筑,占比,以上
550,奔子栏佛 塔殿壁画,绘制时期,清代
550,奔子栏佛塔殿壁画,级别,第六批云南省级 文物保护单位
550,奔子栏佛塔殿壁画,组数,共组
550,奔子 栏佛塔殿壁画,总面积,多平方米
550,奔子栏佛塔殿 壁画,技艺特点,精湛
550,奔子 栏佛塔殿壁画,保存 状况,完好
550,奔子栏,地理位置 优势,地处滇藏要道
550,国道 线,经过地点,穿 村而过
550,奔子栏,交通状况,极为便利
550,奔子栏,自然村 数量,个
550,每个自然村,组织 形式,社团组织
550,古瓦,职责,负责操办佛事、 祭祀、朝拜山神等活动
550,人人,信仰,藏传佛教
550,佛教、苯教,影响范围,渗入社会生活 的方方面面
550,习俗,完整性,完整
550,建房习俗,包括环节,择地、 选材、建房、进房 、斋戒诵经等过程
550,建房习俗,配套内容,一整套祭祀 礼仪
550,每年 新年,主持者,仓 巴
550,祭祀 者,组织活动,村 社进行各种祭祀山神、地 神、社神和朝拜神 山等活动
550,婚丧和节庆习俗,遵循方式,严格遵循传统方式
550,丧葬 方式,包括类型,土葬 、水葬、火葬、塔 葬、天葬等多种形式
550,该村,命名 机构及时间,年迪庆 藏族自治州政府命名的传统艺术特色之乡
550,传统民间 歌舞,种类特点,种类 多流传广泛
550,民歌类型,包括内容,山歌、劳动歌、风俗 歌、儿歌、情歌、 猜调等
550,音乐特点,旋律风格,欢快流畅、节奏鲜明曲调 大都高亢嘹亮
550,舞蹈类型,包括内容,锅庄舞、弦子 舞、情舞和宗教舞蹈等
550,表演形式 特点,多为演唱与舞蹈相结合 ) 59. (奔子 栏锅庄舞,"盛行程度 , 非常盛行"
550,奔子栏锅庄舞,动作特点,幅度较大 舞者下身坠地上身飘逸 动作变化多样稳健豪放刚柔 兼备表演自如潇洒包容了藏 区锅庄的各种特色有极高知名度
550,情舞,性质定位,男女青年 谈情说爱相聚时的歌舞
550,情舞表演 形式,男女随音乐唱腔 排成两排面对面起舞双手 舞动长袖节奏欢快刚劲 有力) 63. (传统 体育娱乐活动,"包括项目, 牛拉力格吾、掷石饼 落叫、斗牛、摔跤、爬山 、抱大石比赛踢毽子 、双人模拟斗羊斗牛、 老鹰抓小鸡、模拟钻 山洞、翻煎饼等"
550,重大节日,包括 内容,春节、阴历七月 十五转神山节、阴历 八月燃灯节、藏历十月 二十五日格鲁派祖师宗喀 巴圆寂的祭日等
550,春节藏语 名称,洛色) 6 6. (春节含义,意为 新年
550,春节 节期,每年农历正月初一 至正月二十五) 68. (春节活动目的,朝拜 神山祈求平安吉祥人丁兴旺 五谷丰登进行苯教祭祀 活动感恩佛祖、山神赐 给人间吉祥幸福、平安快乐
550,节庆特色 代表,春节最有特色体现出浓郁 的民族性和地域性) 70 . (奔子栏藏族妇女服饰,"色彩风格, 鲜艳协调 典雅端庄"
550,奔子栏藏族妇女服饰穿着 习惯,一般穿藏族传统服装 佩戴镶有珊瑚、玛瑙、 绿松石、海贝化石等 的金银饰物) 72 . (男子穿着习惯,亦 穿传统服装服装上不镶动物 毛皮不佩腰刀充分体现了 奔子栏人保护生态、关爱 自然的美德
550,民间文学地位,在藏族传统文化 中占有重要地位) 74 . (奔子栏现存民间文学 形式,神话故事、歌谣 、谚语等多为口头流传
550,民间藏医药 普及情况,普及) 7 6. (藏式壁画技艺特点,高超
550,酿制藏族青稞酒 技艺状况,完整) 7 8. (木器制作工艺包括 物品,木碗、糌粑 盒、酥油盒、木杯 、木碟、木盘、藏 式折叠桌等
550,木器制作工艺特点,精美远近闻名) 80 . (传统手工业特色项目,手工纺织较有特色包括搓 羊毛线织氆氇、牦牛 毛毯、羊绒毯和藏 式腰带
551,者太村,位于,文山壮族 苗族自治州广南县西北部
551,者太 村,地处,滇桂 黔交界地区
551,者太村,境内有景点,革夺仙人洞
551,者太村,境内有景点,清水江峡谷
551,者太村,由...组成,壮 族自然村
551,壮族自然村,数量为,个
551,者太村,人均耕地面积,亩
551,者太村,人均纯收入,元年
551,村子,朝向,坐西南 朝东南
551,村子,背山面坝,森林植被覆盖率达以上
551,民居建筑,木结构壮式干栏建筑 占比,以上
551,老人亭/亭棚,功能,为老人传道 、授业、解惑之亭
551,老人亭 /亭棚,属性,男性专属之亭女性禁入
551,老人亭/ 亭棚,后衍变为,句町王庙
551,句町王庙,别称,土主庙
551,句町 王庙,别称,神农庙
551,句町王庙,别称,侬智高庙
551,寨神亭,特点,一寨一亭 世代相传
551,建房过程,包括步骤,选址
551,建 房过程,包括步骤,择 日
551,建 房过程,包括步骤,开 山伐木
551,建房过程,包括步骤,立柱
551,建房过程,包括步骤,上梁
551,建房过程,包括步骤,进房
551,每个过程所用祭品,包含,酒
551,每个过程所用祭品,包含,鸡
551,每个过程所用祭品,包含,糯粑
551,纺织、染色、 刺绣工艺,保持风格,传统风格
551,壮锦,使用材料,红、黑、黄、蓝等 色纱线
551,壮锦,织成图案,方格图案的土布
551,壮锦,常用作,被里
551,壮锦,常用作,女性头 帕
551,壮 锦,常用作,包袱
551,壮锦,常用作,围帕
551,壮锦,地位,中国的四大名 锦之一
551,壮锦图案,包含元素,花
551,壮锦图案,包含元素,鸟
551,壮锦图案,包含元素,虫
551,壮锦图案,包含元素,鱼
551,壮锦图案,包含元素,蛙
551,壮锦图案,包含元素,鹿
551,壮锦图案,包含元素,鹤
551,壮锦图案,包含元素,兔
551,壮锦图案,包含元素,云
551,壮锦图案,包含元素,水纹
551,工艺类型,包括,织 锦
551,工艺 类型,包括,刺戳锦
551,工艺类型,包括,绣锦
551,工艺类型,包括,扣锦
551,工艺类型,包括,剪制锦
551,壮族男性服装,特征,头包自织自染 的棉布包帕
551,壮族男性服装,特征,穿对襟布 纽装
551,壮族男性服装,特征,穿大裆裤
551,壮族男性服装,特征,穿布鞋
551,壮族女性 传统裙装,头帕样式,用自制花方格织 锦在前额包扎成两支斜上的 角状帕式有遮阳
551,壮族女性传统 裙装,衣服款式,多为收腰、翘脚边、 右衽斜襟式上衣
551,壮族女性传统 裙装,配饰,戴银项圈配银、玉 牌等胸饰
551,壮族女性传统裙装,裙子材质与制作方式,用土布缝制百褶 裙
551,壮 族女性传统裙装,腰部 装饰与固定方式,用两头 有袋的宽边腰带从后 往前系紧使之在衣服下摆 露出
551,壮 族女性传统裙装,穿着 特点,裤裙同时穿着衣 短而裙长
551,壮族女性传统裙装,讲究配套,帕、 衣、裙、鞋配套
551,壮族女性发型 与头饰,将长发束 在头顶作锥髻状插上银 簪) 63. (壮 族女性劳动时头部装饰,包绣花匾形头帕
551,壮族女性 平时或喜庆场合头部装饰,包织锦角帕) 6 5. (壮族信仰对象,"包括, 自然神灵龙山有 山神"
551,壮族信仰对象,包括,树神
551,壮族信仰对象,包括,寨神
551,壮族信仰对象,包括,祖先
551,每家 供奉设施,供有神龛 ) 70. (年度祭祀 活动,每年三月祭龙山
551,祭祀地点 与对象关联,到亭棚 祭祀侬智高) 72 . (者太村壮族特色 表演形式,拢雅歪
551,拢雅歪 含义解析,“耍、跳、 舞”之意) 74. (拢雅歪中“雅” 含义,“女神”
551,拢雅歪中“ 歪”含义,“水牛” ) 76. (拢雅 歪别称或解释,水 牛母神之舞
551,拢雅歪道具包括,披袍扮水牛神 傩面具) 78. ( 拢雅歪道具包括,古代 兵器长棍
551,拢雅歪道具包括,古代兵器长矛) 80 . (拢雅歪道具包括,古代兵器大刀
551,拢雅歪道具包括,古代兵器钢叉) 82. (拢雅歪道具 包括,古代兵器戢
551,拢雅歪道具 包括,古代兵器勾镰) 84. (拢雅歪 道具包括,古代兵器三节 棍
551,拢 雅歪伴奏乐器包括,牛皮 鼓) 86. (拢 雅歪伴奏乐器包括,大 钹
551,拢 雅歪伴奏乐器包括,水 牛角) 88. ( 拢雅歪舞蹈类型包括,地面舞
551,拢雅歪舞蹈类型包括,爬高台舞) 90 . (拢雅歪特点描述,套路丰富特点鲜明既有舞蹈艺术 风格又有杂技技巧惊险刺激深受 壮家人喜爱
551,拢雅歪传承方式,以传习方式传承代代相传 ) 92. (拢雅 歪传承主体包括,传习 人
552,独龙江 乡,位于,怒江傈 僳族自治州贡山独龙 族怒族自治县西部
552,独龙江乡,总面积,平方公里
552,独龙江乡,海拔,米
552,独龙江乡,辖,个行政村
552,独龙江乡,辖,个村民小组
